pcr_number,template,forward_primer,reverse_primer,f_tm,r_tm
PCR1,PABA-UP,P001,P002,65.35,64.98
PCR2,PKG1_promoter,P003,P004,65.62,66.16
PCR3,dTomato,P005,P006,66.25,66.73
PCR4,PKG1_terminator,P007,P008,64.79,65.26
PCR5,PABA-DW,P009,P010,64.55,64.57
PCR6,dTomato,P005,P011,66.25,66.73
PCR7,ADH1_terminator,P012,P013,64.95,65.26
PCR8,PABA-DW,P014,P010,64.55,64.57
PCR9,dTomato,P005,P015,66.25,66.73
PCR10,TDH3_terminator,P016,P017,64.93,65.58
PCR11,PABA-DW,P018,P010,64.55,64.57
PCR12,dTomato,P005,P019,66.25,66.73
PCR13,ACT_terminator,P020,P021,65.05,65.18
PCR14,PABA-DW,P022,P010,64.55,64.57
PCR15,dTomato,P005,P023,66.25,66.73
PCR16,TEF1_terminator,P024,P025,64.65,65.14
PCR17,PABA-DW,P026,P010,64.55,64.57
PCR18,dTomato,P005,P027,66.25,66.73
PCR19,DED1_terminator,P028,P029,64.88,64.87
PCR20,PABA-DW,P030,P010,64.55,64.57
PCR21,dTomato,P005,P031,66.25,66.73
PCR22,gpdA_terminator,P032,P033,65.54,65.59
PCR23,PABA-DW,P034,P010,64.55,64.57
PCR24,dTomato,P005,P035,66.25,66.73
PCR25,pkiA_terminator,P036,P037,64.96,65.34
PCR26,PABA-DW,P038,P010,64.55,64.57
PCR27,dTomato,P005,P039,66.25,66.73
PCR28,mdhA_terminator,P040,P041,65.34,65.11
PCR29,PABA-DW,P042,P010,64.55,64.57
PCR30,PKG1_promoter,P003,P043,65.62,66.16
PCR31,Negative_control,P044,P045,64.8,65.8
PCR32,PKG1_terminator,P046,P008,64.79,65.26
PCR33,Negative_control,P044,P047,64.8,65.8
PCR34,ADH1_terminator,P048,P013,64.95,65.26
PCR35,Negative_control,P044,P049,64.8,65.8
PCR36,TDH3_terminator,P050,P017,64.93,65.58
PCR37,Negative_control,P044,P051,64.8,65.8
PCR38,ACT_terminator,P052,P021,65.05,65.18
PCR39,Negative_control,P044,P053,64.8,65.8
PCR40,TEF1_terminator,P054,P025,64.65,65.14
PCR41,Negative_control,P044,P055,64.8,65.8
PCR42,DED1_terminator,P056,P029,64.88,64.87
