0,1,2,3,4,Systematic_name,Variant
PABA-UP,PKG1_promoter,dTomato,PKG1_terminator,PABA-DW,"(1, 1, 1, 1, 1)",0
PABA-UP,PKG1_promoter,dTomato,ADH1_terminator,PABA-DW,"(1, 1, 1, 2, 1)",1
PABA-UP,PKG1_promoter,dTomato,TDH3_terminator,PABA-DW,"(1, 1, 1, 3, 1)",2
PABA-UP,PKG1_promoter,dTomato,ACT_terminator,PABA-DW,"(1, 1, 1, 4, 1)",3
PABA-UP,PKG1_promoter,dTomato,TEF1_terminator,PABA-DW,"(1, 1, 1, 5, 1)",4
PABA-UP,PKG1_promoter,dTomato,DED1_terminator,PABA-DW,"(1, 1, 1, 6, 1)",5
PABA-UP,PKG1_promoter,dTomato,gpdA_terminator,PABA-DW,"(1, 1, 1, 7, 1)",6
PABA-UP,PKG1_promoter,dTomato,pkiA_terminator,PABA-DW,"(1, 1, 1, 8, 1)",7
PABA-UP,PKG1_promoter,dTomato,mdhA_terminator,PABA-DW,"(1, 1, 1, 9, 1)",8
PABA-UP,PKG1_promoter,Negative_control,PKG1_terminator,PABA-DW,"(1, 1, 2, 1, 1)",9
PABA-UP,PKG1_promoter,Negative_control,ADH1_terminator,PABA-DW,"(1, 1, 2, 2, 1)",10
PABA-UP,PKG1_promoter,Negative_control,TDH3_terminator,PABA-DW,"(1, 1, 2, 3, 1)",11
PABA-UP,PKG1_promoter,Negative_control,ACT_terminator,PABA-DW,"(1, 1, 2, 4, 1)",12
PABA-UP,PKG1_promoter,Negative_control,TEF1_terminator,PABA-DW,"(1, 1, 2, 5, 1)",13
PABA-UP,PKG1_promoter,Negative_control,DED1_terminator,PABA-DW,"(1, 1, 2, 6, 1)",14
PABA-UP,PKG1_promoter,Negative_control,gpdA_terminator,PABA-DW,"(1, 1, 2, 7, 1)",15
PABA-UP,PKG1_promoter,Negative_control,pkiA_terminator,PABA-DW,"(1, 1, 2, 8, 1)",16
PABA-UP,PKG1_promoter,Negative_control,mdhA_terminator,PABA-DW,"(1, 1, 2, 9, 1)",17
PABA-UP,ADH1_promoter,dTomato,PKG1_terminator,PABA-DW,"(1, 2, 1, 1, 1)",18
PABA-UP,ADH1_promoter,dTomato,ADH1_terminator,PABA-DW,"(1, 2, 1, 2, 1)",19
PABA-UP,ADH1_promoter,dTomato,TDH3_terminator,PABA-DW,"(1, 2, 1, 3, 1)",20
PABA-UP,ADH1_promoter,dTomato,ACT_terminator,PABA-DW,"(1, 2, 1, 4, 1)",21
PABA-UP,ADH1_promoter,dTomato,TEF1_terminator,PABA-DW,"(1, 2, 1, 5, 1)",22
PABA-UP,ADH1_promoter,dTomato,DED1_terminator,PABA-DW,"(1, 2, 1, 6, 1)",23
PABA-UP,ADH1_promoter,dTomato,gpdA_terminator,PABA-DW,"(1, 2, 1, 7, 1)",24
PABA-UP,ADH1_promoter,dTomato,pkiA_terminator,PABA-DW,"(1, 2, 1, 8, 1)",25
PABA-UP,ADH1_promoter,dTomato,mdhA_terminator,PABA-DW,"(1, 2, 1, 9, 1)",26
PABA-UP,ADH1_promoter,Negative_control,PKG1_terminator,PABA-DW,"(1, 2, 2, 1, 1)",27
PABA-UP,ADH1_promoter,Negative_control,ADH1_terminator,PABA-DW,"(1, 2, 2, 2, 1)",28
PABA-UP,ADH1_promoter,Negative_control,TDH3_terminator,PABA-DW,"(1, 2, 2, 3, 1)",29
PABA-UP,ADH1_promoter,Negative_control,ACT_terminator,PABA-DW,"(1, 2, 2, 4, 1)",30
PABA-UP,ADH1_promoter,Negative_control,TEF1_terminator,PABA-DW,"(1, 2, 2, 5, 1)",31
PABA-UP,ADH1_promoter,Negative_control,DED1_terminator,PABA-DW,"(1, 2, 2, 6, 1)",32
PABA-UP,ADH1_promoter,Negative_control,gpdA_terminator,PABA-DW,"(1, 2, 2, 7, 1)",33
PABA-UP,ADH1_promoter,Negative_control,pkiA_terminator,PABA-DW,"(1, 2, 2, 8, 1)",34
PABA-UP,ADH1_promoter,Negative_control,mdhA_terminator,PABA-DW,"(1, 2, 2, 9, 1)",35
PABA-UP,TDH3_promoter,dTomato,PKG1_terminator,PABA-DW,"(1, 3, 1, 1, 1)",36
PABA-UP,TDH3_promoter,dTomato,ADH1_terminator,PABA-DW,"(1, 3, 1, 2, 1)",37
PABA-UP,TDH3_promoter,dTomato,TDH3_terminator,PABA-DW,"(1, 3, 1, 3, 1)",38
PABA-UP,TDH3_promoter,dTomato,ACT_terminator,PABA-DW,"(1, 3, 1, 4, 1)",39
PABA-UP,TDH3_promoter,dTomato,TEF1_terminator,PABA-DW,"(1, 3, 1, 5, 1)",40
PABA-UP,TDH3_promoter,dTomato,DED1_terminator,PABA-DW,"(1, 3, 1, 6, 1)",41
PABA-UP,TDH3_promoter,dTomato,gpdA_terminator,PABA-DW,"(1, 3, 1, 7, 1)",42
PABA-UP,TDH3_promoter,dTomato,pkiA_terminator,PABA-DW,"(1, 3, 1, 8, 1)",43
PABA-UP,TDH3_promoter,dTomato,mdhA_terminator,PABA-DW,"(1, 3, 1, 9, 1)",44
PABA-UP,TDH3_promoter,Negative_control,PKG1_terminator,PABA-DW,"(1, 3, 2, 1, 1)",45
PABA-UP,TDH3_promoter,Negative_control,ADH1_terminator,PABA-DW,"(1, 3, 2, 2, 1)",46
PABA-UP,TDH3_promoter,Negative_control,TDH3_terminator,PABA-DW,"(1, 3, 2, 3, 1)",47
PABA-UP,TDH3_promoter,Negative_control,ACT_terminator,PABA-DW,"(1, 3, 2, 4, 1)",48
PABA-UP,TDH3_promoter,Negative_control,TEF1_terminator,PABA-DW,"(1, 3, 2, 5, 1)",49
