pcr_number,template,forward_primer,reverse_primer,f_tm,r_tm
PCR1,HR_DW,P001,P002,79.29,79.38
PCR2,PABA-UP,P003,P004,68.88,69.46
PCR3,PKG1,P005,P006,71.94,71.95
PCR4,pfa1,P007,P008,81.13,81.41
PCR5,PKG1_T,P009,P010,64.79,66.24
PCR6,PKG1,P011,P012,71.94,71.95
PCR7,pfa2,P013,P014,76.12,79.46
PCR8,PKG1_T,P015,P010,64.79,66.24
PCR9,PKG1,P011,P016,71.94,71.95
PCR10,pfa3,P017,P018,72.25,82.3
PCR11,PKG1_T,P019,P010,64.79,66.24
PCR12,PKG1,P011,P020,71.94,71.95
PCR13,PPtase_BBa_K5300011,P021,P022,81.71,81.84
PCR14,PKG1_T,P023,P024,64.79,66.24
PCR15,Hygromycin,P025,P026,65.21,72.31
PCR16,PABA-DW,P027,P028,73.71,74.03
PCR17,HR_UP,P029,P030,66.43,66.65
PCR18,PPtase_BBa_K5300011,P021,P031,81.71,81.84
PCR19,ADH1_T,P032,P033,64.95,71.04
PCR20,Hygromycin,P034,P026,65.21,72.31
PCR21,PKG1_T,P019,P035,64.79,66.24
PCR22,ADH1,P036,P037,75.28,75.26
PCR23,PPtase_BBa_K5300011,P038,P022,81.71,81.84
PCR24,PPtase_BBa_K5300011,P038,P031,81.71,81.84
PCR25,pfa3,P017,P039,72.25,82.3
PCR26,ADH1_T,P040,P041,64.95,71.04
PCR27,PKG1,P042,P020,71.94,71.95
PCR28,ADH1_T,P040,P043,64.95,71.04
PCR29,ADH1,P044,P037,75.28,75.26
PCR30,PKG1_T,P015,P035,64.79,66.24
PCR31,ADH1,P036,P045,75.28,75.26
PCR32,pfa3,P046,P018,72.25,82.3
PCR33,pfa3,P046,P039,72.25,82.3
PCR34,pfa2,P013,P047,76.12,79.46
PCR35,ADH1_T,P048,P041,64.95,71.04
PCR36,PKG1,P042,P016,71.94,71.95
PCR37,ADH1_T,P048,P043,64.95,71.04
PCR38,ADH1,P044,P045,75.28,75.26
PCR39,PKG1_T,P009,P035,64.79,66.24
PCR40,ADH1,P036,P049,75.28,75.26
PCR41,pfa2,P050,P014,76.12,79.46
PCR42,pfa2,P050,P047,76.12,79.46
PCR43,pfa1,P007,P051,81.13,81.41
PCR44,ADH1_T,P052,P041,64.95,71.04
PCR45,PKG1,P042,P012,71.94,71.95
PCR46,ADH1_T,P052,P043,64.95,71.04
PCR47,ADH1,P044,P049,75.28,75.26
PCR48,PABA-UP,P003,P053,68.88,69.46
PCR49,ADH1,P054,P055,75.28,75.26
PCR50,pfa1,P056,P008,81.13,81.41
PCR51,pfa1,P056,P051,81.13,81.41
